experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,batching_mode,batching_window,block_length
batching_comparison,batching_comparison,5ea56703e975,3,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,ca6ea63abdca,3,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,93e9482cdaa6,3,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,a298a1b8f50a,3,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,958631638c74,3,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,timestamp_quantization,0.25,
batching_comparison,batching_comparison,1c6627c9b036,3,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,timestamp_quantization,0.25,
batching_comparison,batching_comparison,5a57ab0a1c11,4,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,timestamp_quantization,0.5,
batching_comparison,batching_comparison,5a57ab0a1c11,4,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,timestamp_quantization,0.5,
batching_comparison,batching_comparison,d5d873f5e446,4,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,8b1743a28fb2,4,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,1fd4004552c8,4,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,0f846b94a6d7,4,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,d5d873f5e446,4,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,8b1743a28fb2,4,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,1fd4004552c8,4,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,0f846b94a6d7,4,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,7c63230490b0,4,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,timestamp_quantization,0.5,
batching_comparison,batching_comparison,5a57ab0a1c11,4,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,timestamp_quantization,0.5,
batching_comparison,batching_comparison,bcd4b0d7ded1,5,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,timestamp_quantization,1.0,
batching_comparison,batching_comparison,bcd4b0d7ded1,5,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,timestamp_quantization,1.0,
batching_comparison,batching_comparison,f0d9de493225,5,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,461d0149cd92,5,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,8cb88d97209b,5,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,ba2db7c2e51c,5,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,f0d9de493225,5,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,461d0149cd92,5,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,8cb88d97209b,5,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,ba2db7c2e51c,5,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,bed8cc728950,5,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,timestamp_quantization,1.0,
batching_comparison,batching_comparison,bcd4b0d7ded1,5,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,timestamp_quantization,1.0,
batching_comparison,batching_comparison,c974b88a8267,6,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,fixed_window_observation,0.25,
batching_comparison,batching_comparison,c974b88a8267,6,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,fixed_window_observation,0.25,
batching_comparison,batching_comparison,327860d8dd0b,6,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,6b8785958be4,6,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,f9de9d0a7b3f,6,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,086d5b12bdcc,6,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,327860d8dd0b,6,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,6b8785958be4,6,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,f9de9d0a7b3f,6,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,086d5b12bdcc,6,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,eb71c72f2ee3,6,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,fixed_window_observation,0.25,
batching_comparison,batching_comparison,c974b88a8267,6,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,fixed_window_observation,0.25,
batching_comparison,batching_comparison,06678a0280dc,7,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,fixed_window_observation,0.5,
batching_comparison,batching_comparison,06678a0280dc,7,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,fixed_window_observation,0.5,
batching_comparison,batching_comparison,c509d9d230f0,7,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,3c001e726b61,7,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,0b0494e0ce88,7,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,2400df8d8036,7,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,c509d9d230f0,7,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,3c001e726b61,7,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,0b0494e0ce88,7,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,2400df8d8036,7,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
