experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,quantizer_step,quantizer_phase,jitter_distribution,jitter_scale,alphabet,jitter_variance,symbol_index
jitter_comparison,jitter_comparison,04891b66ed5a,0,,mutual_information,0.16056053147302046,bits_per_symbol,exact,complete,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",1.0,
jitter_comparison,jitter_comparison,46de592bbc5d,0,,capacity_bits_per_symbol,0.16056053147302046,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",1.0,
jitter_comparison,jitter_comparison,46de592bbc5d,0,,capacity_residual,2.7755575615628914e-17,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",1.0,
jitter_comparison,jitter_comparison,04891b66ed5a,0,,matrix_row_sum_error,0.0,probability,exact,complete,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",1.0,
jitter_comparison,jitter_comparison,32bea1a8921f,0,,jitter_variance,1.0,normalized_time_squared,analytic,complete,0.125,,gaussian,,,,
jitter_comparison,jitter_comparison,e521c5ae54fe,0,,optimal_input_probability,0.5,probability,exact,complete,,,,,,1.0,0.0
jitter_comparison,jitter_comparison,788c4b75e7ea,0,,optimal_input_probability,0.5,probability,exact,complete,,,,,,1.0,1.0
jitter_comparison,jitter_comparison,654aa5ce53d0,1,,mutual_information,0.21976740814053516,bits_per_symbol,exact,complete,0.125,0.0,laplace,0.7071067811865475,"[0.0, 1.0]",0.9999999999999998,
jitter_comparison,jitter_comparison,021c3f5dce18,1,,capacity_bits_per_symbol,0.2197674081405352,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,laplace,0.7071067811865475,"[0.0, 1.0]",0.9999999999999998,
jitter_comparison,jitter_comparison,021c3f5dce18,1,,capacity_residual,0.0,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,laplace,0.7071067811865475,"[0.0, 1.0]",0.9999999999999998,
jitter_comparison,jitter_comparison,654aa5ce53d0,1,,matrix_row_sum_error,0.0,probability,exact,complete,0.125,0.0,laplace,0.7071067811865475,"[0.0, 1.0]",0.9999999999999998,
jitter_comparison,jitter_comparison,9085a302a956,1,,jitter_variance,0.9999999999999998,normalized_time_squared,analytic,complete,0.125,,laplace,,,,
jitter_comparison,jitter_comparison,924993a7b562,1,,optimal_input_probability,0.5,probability,exact,complete,,,,,,0.9999999999999998,0.0
jitter_comparison,jitter_comparison,baddec1eb4fc,1,,optimal_input_probability,0.5,probability,exact,complete,,,,,,0.9999999999999998,1.0
jitter_comparison,jitter_comparison,9a0757130564,2,,mutual_information,0.19271941510928464,bits_per_symbol,exact,complete,0.125,0.0,student_t,0.7745966692414834,"[0.0, 1.0]",1.0000000000000002,
jitter_comparison,jitter_comparison,3b18f14cc915,2,,capacity_bits_per_symbol,0.19271941510928464,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,student_t,0.7745966692414834,"[0.0, 1.0]",1.0000000000000002,
jitter_comparison,jitter_comparison,3b18f14cc915,2,,capacity_residual,8.326672684688674e-17,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,student_t,0.7745966692414834,"[0.0, 1.0]",1.0000000000000002,
jitter_comparison,jitter_comparison,9a0757130564,2,,matrix_row_sum_error,0.0,probability,exact,complete,0.125,0.0,student_t,0.7745966692414834,"[0.0, 1.0]",1.0000000000000002,
jitter_comparison,jitter_comparison,ae8f9018bf2c,2,,jitter_variance,1.0000000000000002,normalized_time_squared,analytic,complete,0.125,,student_t,,,,
jitter_comparison,jitter_comparison,fbe9c9f97454,2,,optimal_input_probability,0.5,probability,exact,complete,,,,,,1.0000000000000002,0.0
jitter_comparison,jitter_comparison,75253cd853b0,2,,optimal_input_probability,0.5,probability,exact,complete,,,,,,1.0000000000000002,1.0
jitter_comparison,jitter_comparison,b831ded63f55,3,,mutual_information,0.1604312045659088,bits_per_symbol,exact,complete,0.125,0.0,gaussian_mixture,1.0,"[0.0, 1.0]",0.9999999999999999,
jitter_comparison,jitter_comparison,04a594bd6c93,3,,capacity_bits_per_symbol,0.16043120456590879,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,gaussian_mixture,1.0,"[0.0, 1.0]",0.9999999999999999,
jitter_comparison,jitter_comparison,04a594bd6c93,3,,capacity_residual,1.3877787807814457e-16,bits_per_symbol,blahut_arimoto,complete,0.125,0.0,gaussian_mixture,1.0,"[0.0, 1.0]",0.9999999999999999,
jitter_comparison,jitter_comparison,b831ded63f55,3,,matrix_row_sum_error,0.0,probability,exact,complete,0.125,0.0,gaussian_mixture,1.0,"[0.0, 1.0]",0.9999999999999999,
jitter_comparison,jitter_comparison,a037c978d97c,3,,jitter_variance,0.9999999999999999,normalized_time_squared,analytic,complete,0.125,,gaussian_mixture,,,,
jitter_comparison,jitter_comparison,96088537e244,3,,optimal_input_probability,0.5,probability,exact,complete,,,,,,0.9999999999999999,0.0
