experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,max_kl_bits,baseline_mode,symbol_index
detectability_frontier,detectability_frontier,64c10d25626f,4,,optimal_input_probability,1.0,probability,exact,complete,,,,0.05,channel_symbol,0.0
detectability_frontier,detectability_frontier,f6a48857b806,4,,optimal_input_probability,0.0,probability,exact,complete,,,,0.05,channel_symbol,1.0
detectability_frontier,detectability_frontier,e6288977616f,4,,optimizer_accepted,0.0,boolean,exact,complete,,,,0.05,channel_symbol,
detectability_frontier,detectability_frontier,e6288977616f,4,,optimizer_converged,0.0,boolean,exact,complete,,,,0.05,channel_symbol,
detectability_frontier,detectability_frontier,e6288977616f,4,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.05,channel_symbol,
detectability_frontier,detectability_frontier,e6288977616f,4,,optimizer_iterations,1.0,iterations,exact,complete,,,,0.05,channel_symbol,
detectability_frontier,detectability_frontier,2e5dddec3071,5,,achieved_kl_bits,0.0,bits,slsqp,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,2e5dddec3071,5,,constrained_capacity_bits_per_symbol,0.0,bits_per_symbol,slsqp,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,2e5dddec3071,5,,mean_delay,0.0,normalized_time,slsqp,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,258407c942e5,5,,optimal_input_probability,1.0,probability,exact,complete,,,,0.1,channel_symbol,0.0
detectability_frontier,detectability_frontier,63cb0a94222f,5,,optimal_input_probability,0.0,probability,exact,complete,,,,0.1,channel_symbol,1.0
detectability_frontier,detectability_frontier,05daeccad977,5,,optimizer_accepted,0.0,boolean,exact,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,05daeccad977,5,,optimizer_converged,0.0,boolean,exact,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,05daeccad977,5,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.1,channel_symbol,
detectability_frontier,detectability_frontier,05daeccad977,5,,optimizer_iterations,1.0,iterations,exact,complete,,,,0.1,channel_symbol,
