experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,max_kl_bits,baseline_mode,grid_resolution,symbol_index
detectability_frontier,detectability_frontier,5f28960a60ea,3,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.001,input_distribution,,
detectability_frontier,detectability_frontier,3c57d602b372,3,,optimizer_grid_difference,0.0003722629688384105,bits_per_symbol,binary_grid_validation,complete,,,,0.001,input_distribution,1001.0,
detectability_frontier,detectability_frontier,5f28960a60ea,3,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.001,input_distribution,,
detectability_frontier,detectability_frontier,75a90e895b75,4,,achieved_kl_bits,0.001994028267616144,bits,slsqp,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,75a90e895b75,4,,constrained_capacity_bits_per_symbol,0.03482304633703336,bits_per_symbol,slsqp,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,d29c6974e45f,4,,grid_best_capacity,0.034406086169604395,bits_per_symbol,binary_grid_validation,complete,,,,0.002,input_distribution,1001.0,
detectability_frontier,detectability_frontier,75a90e895b75,4,,mean_delay,0.05369999999999997,normalized_time,slsqp,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,503c5b7eb19c,4,,optimal_input_probability,0.9463,probability,exact,complete,,,,0.002,input_distribution,,0.0
detectability_frontier,detectability_frontier,45b9b9370614,4,,optimal_input_probability,0.05369999999999997,probability,exact,complete,,,,0.002,input_distribution,,1.0
detectability_frontier,detectability_frontier,a3665730e7c0,4,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,a3665730e7c0,4,,optimizer_converged,1.0,boolean,exact,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,a3665730e7c0,4,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,d29c6974e45f,4,,optimizer_grid_difference,0.00041696016742896747,bits_per_symbol,binary_grid_validation,complete,,,,0.002,input_distribution,1001.0,
detectability_frontier,detectability_frontier,a3665730e7c0,4,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.002,input_distribution,,
detectability_frontier,detectability_frontier,1ac3e6d5e82e,5,,achieved_kl_bits,0.004998362641470733,bits,slsqp,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,1ac3e6d5e82e,5,,constrained_capacity_bits_per_symbol,0.05006742058373487,bits_per_symbol,slsqp,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,a7c72b479d9f,5,,grid_best_capacity,0.049848273215223726,bits_per_symbol,binary_grid_validation,complete,,,,0.005,input_distribution,1001.0,
detectability_frontier,detectability_frontier,1ac3e6d5e82e,5,,mean_delay,0.08039999999999992,normalized_time,slsqp,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,719e37f4def2,5,,optimal_input_probability,0.9196000000000001,probability,exact,complete,,,,0.005,input_distribution,,0.0
detectability_frontier,detectability_frontier,ec6522d40070,5,,optimal_input_probability,0.08039999999999992,probability,exact,complete,,,,0.005,input_distribution,,1.0
detectability_frontier,detectability_frontier,08bf84397edb,5,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,08bf84397edb,5,,optimizer_converged,1.0,boolean,exact,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,08bf84397edb,5,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,a7c72b479d9f,5,,optimizer_grid_difference,0.00021914736851114114,bits_per_symbol,binary_grid_validation,complete,,,,0.005,input_distribution,1001.0,
detectability_frontier,detectability_frontier,08bf84397edb,5,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.005,input_distribution,,
detectability_frontier,detectability_frontier,732b85dd6832,6,,achieved_kl_bits,0.009994777372167862,bits,slsqp,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,732b85dd6832,6,,constrained_capacity_bits_per_symbol,0.06619029785210835,bits_per_symbol,slsqp,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,f932609ae526,6,,grid_best_capacity,0.0660412295790077,bits_per_symbol,binary_grid_validation,complete,,,,0.01,input_distribution,1001.0,
detectability_frontier,detectability_frontier,732b85dd6832,6,,mean_delay,0.11129999999999995,normalized_time,slsqp,complete,,,,0.01,input_distribution,,
