estimator,experiment,metric_name,metric_value,quantizer.step,replication,status,units
exact_cdf_difference,capacity_surface,mutual_information,0.16056053147302046,0.125,0,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_bits_per_symbol,0.16056053147302046,0.125,0,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_residual,2.7755575615628914e-17,0.125,0,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,matrix_row_sum_error,0.0,0.125,0,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,mutual_information,0.16000298287040332,0.25,1,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_bits_per_symbol,0.16000298287040332,0.25,1,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_residual,2.7755575615628914e-17,0.25,1,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,matrix_row_sum_error,0.0,0.25,1,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,mutual_information,0.1578098993297024,0.5,2,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_bits_per_symbol,0.15780989932970238,0.5,2,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_residual,5.551115123125783e-17,0.5,2,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,matrix_row_sum_error,0.0,0.5,2,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,mutual_information,0.14959422631881045,1.0,3,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_bits_per_symbol,0.14959422631881047,1.0,3,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_residual,1.3877787807814457e-16,1.0,3,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,matrix_row_sum_error,0.0,1.0,3,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,mutual_information,0.12379553312575943,2.0,4,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_bits_per_symbol,0.12379933051360953,2.0,4,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,capacity_residual,9.076575602229298e-11,2.0,4,complete,bits_per_symbol
exact_cdf_difference,capacity_surface,matrix_row_sum_error,0.0,2.0,4,complete,bits_per_symbol
