experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,sample_size,roc_table,target_false_positive_rate,target_fpr
finite_sample_detection,finite_sample_detection,5f8c878b6ab1,4,,minimum_equal_prior_error,0.0,probability,likelihood_ratio,complete,,0.0,0.0,250,tables/roc_n_250.csv,,
finite_sample_detection,finite_sample_detection,58e948d0a3ec,4,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,250,tables/roc_n_250.csv,,
finite_sample_detection,finite_sample_detection,b04bcdaef26f,4,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,250,tables/roc_n_250.csv,0.01,
finite_sample_detection,finite_sample_detection,495adb34c864,4,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,250,tables/roc_n_250.csv,0.05,
finite_sample_detection,finite_sample_detection,5760555c4752,4,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,250,tables/roc_n_250.csv,0.1,
finite_sample_detection,finite_sample_detection,ea020b459667,4,,tpr_at_fpr,1.0,probability,exact,complete,,,,250,tables/roc_n_250.csv,,0.01
finite_sample_detection,finite_sample_detection,46408c50c010,4,,tpr_at_fpr,1.0,probability,exact,complete,,,,250,tables/roc_n_250.csv,,0.05
finite_sample_detection,finite_sample_detection,9957174e7f5f,4,,tpr_at_fpr,1.0,probability,exact,complete,,,,250,tables/roc_n_250.csv,,0.1
finite_sample_detection,finite_sample_detection,72c809bf9684,5,,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,500,tables/roc_n_500.csv,,
finite_sample_detection,finite_sample_detection,57d85c88a273,5,,minimum_equal_prior_error,0.0,probability,likelihood_ratio,complete,,0.0,0.0,500,tables/roc_n_500.csv,,
finite_sample_detection,finite_sample_detection,fd5202e8a85d,5,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,500,tables/roc_n_500.csv,,
finite_sample_detection,finite_sample_detection,116c2cd69300,5,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,500,tables/roc_n_500.csv,0.01,
finite_sample_detection,finite_sample_detection,dcc909c89dd1,5,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,500,tables/roc_n_500.csv,0.05,
finite_sample_detection,finite_sample_detection,ab9806552d74,5,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,500,tables/roc_n_500.csv,0.1,
finite_sample_detection,finite_sample_detection,f44faa01a9f7,5,,tpr_at_fpr,1.0,probability,exact,complete,,,,500,tables/roc_n_500.csv,,0.01
finite_sample_detection,finite_sample_detection,7e945bb7c238,5,,tpr_at_fpr,1.0,probability,exact,complete,,,,500,tables/roc_n_500.csv,,0.05
finite_sample_detection,finite_sample_detection,4453523d88f2,5,,tpr_at_fpr,1.0,probability,exact,complete,,,,500,tables/roc_n_500.csv,,0.1
finite_sample_detection,finite_sample_detection,bfae75e3db73,6,,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,1000,tables/roc_n_1000.csv,,
finite_sample_detection,finite_sample_detection,6c52a7019db2,6,,minimum_equal_prior_error,0.0,probability,likelihood_ratio,complete,,0.0,0.0,1000,tables/roc_n_1000.csv,,
finite_sample_detection,finite_sample_detection,6090166fda51,6,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,1000,tables/roc_n_1000.csv,,
finite_sample_detection,finite_sample_detection,d8527d9a1ca1,6,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,1000,tables/roc_n_1000.csv,0.01,
finite_sample_detection,finite_sample_detection,5be4aabf3499,6,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,1000,tables/roc_n_1000.csv,0.05,
finite_sample_detection,finite_sample_detection,66eb9a880f05,6,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,1000,tables/roc_n_1000.csv,0.1,
finite_sample_detection,finite_sample_detection,e78a7b7d046b,6,,tpr_at_fpr,1.0,probability,exact,complete,,,,1000,tables/roc_n_1000.csv,,0.01
finite_sample_detection,finite_sample_detection,efc85c5b77a8,6,,tpr_at_fpr,1.0,probability,exact,complete,,,,1000,tables/roc_n_1000.csv,,0.05
finite_sample_detection,finite_sample_detection,0f739e9623e9,6,,tpr_at_fpr,1.0,probability,exact,complete,,,,1000,tables/roc_n_1000.csv,,0.1
finite_sample_detection,finite_sample_detection,6afbd359680c,7,,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,2500,tables/roc_n_2500.csv,,
finite_sample_detection,finite_sample_detection,224519060657,7,,minimum_equal_prior_error,0.0,probability,likelihood_ratio,complete,,0.0,0.0,2500,tables/roc_n_2500.csv,,
finite_sample_detection,finite_sample_detection,9cf898300acb,7,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,2500,tables/roc_n_2500.csv,,
finite_sample_detection,finite_sample_detection,89d7d389cbc2,7,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,2500,tables/roc_n_2500.csv,0.01,
finite_sample_detection,finite_sample_detection,ae9eb8e79cd7,7,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,2500,tables/roc_n_2500.csv,0.05,
finite_sample_detection,finite_sample_detection,168a7f670bfa,7,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,2500,tables/roc_n_2500.csv,0.1,
finite_sample_detection,finite_sample_detection,591119794c73,7,,tpr_at_fpr,1.0,probability,exact,complete,,,,2500,tables/roc_n_2500.csv,,0.01
finite_sample_detection,finite_sample_detection,4535471157ad,7,,tpr_at_fpr,1.0,probability,exact,complete,,,,2500,tables/roc_n_2500.csv,,0.05
finite_sample_detection,finite_sample_detection,026d4bf7f033,7,,tpr_at_fpr,1.0,probability,exact,complete,,,,2500,tables/roc_n_2500.csv,,0.1
finite_sample_detection,finite_sample_detection,52acc8e155b5,8,,auc,1.0,dimensionless,likelihood_ratio,complete,,1.0,1.0,5000,tables/roc_n_5000.csv,,
finite_sample_detection,finite_sample_detection,51167dd162db,8,,minimum_equal_prior_error,0.0,probability,likelihood_ratio,complete,,0.0,0.0,5000,tables/roc_n_5000.csv,,
finite_sample_detection,finite_sample_detection,01e0a97bebf6,8,,theoretical_total_kl_bits,inf,bits,exact,complete,,,,5000,tables/roc_n_5000.csv,,
finite_sample_detection,finite_sample_detection,0e2274ad65c0,8,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,5000,tables/roc_n_5000.csv,0.01,
finite_sample_detection,finite_sample_detection,1fb435ac00a0,8,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,5000,tables/roc_n_5000.csv,0.05,
finite_sample_detection,finite_sample_detection,8a0d3704f2cb,8,,tpr_at_fpr,1.0,probability,likelihood_ratio,complete,,1.0,1.0,5000,tables/roc_n_5000.csv,0.1,
finite_sample_detection,finite_sample_detection,9ace5eb7d795,8,,tpr_at_fpr,1.0,probability,exact,complete,,,,5000,tables/roc_n_5000.csv,,0.01
finite_sample_detection,finite_sample_detection,716fdb37274d,8,,tpr_at_fpr,1.0,probability,exact,complete,,,,5000,tables/roc_n_5000.csv,,0.05
finite_sample_detection,finite_sample_detection,a1934b65b0a5,8,,tpr_at_fpr,1.0,probability,exact,complete,,,,5000,tables/roc_n_5000.csv,,0.1
