false_positive_rate,true_positive_rate,hypothesis_pair
0.0,0.0362,active_vs_baseline
0.0,0.0364,active_vs_baseline
0.0,0.0366,active_vs_baseline
0.0,0.0368,active_vs_baseline
0.0,0.037,active_vs_baseline
0.0,0.0372,active_vs_baseline
0.0,0.0374,active_vs_baseline
0.0,0.0376,active_vs_baseline
0.0,0.0378,active_vs_baseline
0.0,0.038,active_vs_baseline
0.0,0.0384,active_vs_baseline
0.0,0.0386,active_vs_baseline
0.0,0.0388,active_vs_baseline
0.0,0.039,active_vs_baseline
0.0,0.0392,active_vs_baseline
0.0,0.0394,active_vs_baseline
0.0,0.0396,active_vs_baseline
0.0,0.0398,active_vs_baseline
0.0,0.04,active_vs_baseline
0.0,0.0402,active_vs_baseline
0.0,0.0404,active_vs_baseline
0.0,0.0406,active_vs_baseline
0.0,0.0408,active_vs_baseline
0.0,0.041,active_vs_baseline
0.0,0.0412,active_vs_baseline
0.0,0.0414,active_vs_baseline
0.0,0.0416,active_vs_baseline
0.0,0.0418,active_vs_baseline
0.0,0.042,active_vs_baseline
0.0,0.0422,active_vs_baseline
0.0,0.0424,active_vs_baseline
0.0,0.0426,active_vs_baseline
0.0,0.0428,active_vs_baseline
0.0,0.043,active_vs_baseline
0.0,0.0432,active_vs_baseline
0.0,0.0434,active_vs_baseline
0.0,0.0436,active_vs_baseline
0.0,0.0438,active_vs_baseline
0.0,0.044,active_vs_baseline
0.0,0.0442,active_vs_baseline
0.0,0.0444,active_vs_baseline
0.0,0.0446,active_vs_baseline
0.0,0.0448,active_vs_baseline
0.0,0.045,active_vs_baseline
0.0,0.0452,active_vs_baseline
0.0,0.0454,active_vs_baseline
0.0,0.0456,active_vs_baseline
0.0,0.0458,active_vs_baseline
0.0,0.046,active_vs_baseline
0.0,0.0462,active_vs_baseline
0.0,0.0464,active_vs_baseline
0.0,0.0466,active_vs_baseline
0.0,0.047,active_vs_baseline
0.0,0.0472,active_vs_baseline
0.0,0.0474,active_vs_baseline
0.0,0.0476,active_vs_baseline
0.0,0.0478,active_vs_baseline
0.0,0.048,active_vs_baseline
0.0,0.0482,active_vs_baseline
0.0,0.0484,active_vs_baseline
0.0,0.0486,active_vs_baseline
0.0,0.0488,active_vs_baseline
0.0,0.049,active_vs_baseline
0.0,0.0492,active_vs_baseline
0.0,0.0494,active_vs_baseline
0.0,0.0496,active_vs_baseline
0.0,0.0498,active_vs_baseline
0.0,0.05,active_vs_baseline
0.0,0.0502,active_vs_baseline
0.0,0.0504,active_vs_baseline
0.0,0.0506,active_vs_baseline
0.0,0.0508,active_vs_baseline
0.0,0.051,active_vs_baseline
0.0,0.0512,active_vs_baseline
0.0,0.0514,active_vs_baseline
0.0,0.0516,active_vs_baseline
0.0,0.0518,active_vs_baseline
0.0,0.052,active_vs_baseline
0.0,0.0522,active_vs_baseline
0.0,0.0524,active_vs_baseline
0.0,0.0526,active_vs_baseline
0.0,0.0528,active_vs_baseline
0.0,0.053,active_vs_baseline
0.0,0.0532,active_vs_baseline
0.0,0.0534,active_vs_baseline
0.0,0.0536,active_vs_baseline
0.0,0.0538,active_vs_baseline
0.0,0.0542,active_vs_baseline
0.0,0.0546,active_vs_baseline
0.0,0.0548,active_vs_baseline
0.0,0.055,active_vs_baseline
0.0,0.0552,active_vs_baseline
0.0,0.0554,active_vs_baseline
0.0,0.0556,active_vs_baseline
0.0,0.0558,active_vs_baseline
0.0,0.056,active_vs_baseline
0.0,0.0568,active_vs_baseline
0.0,0.057,active_vs_baseline
0.0,0.0572,active_vs_baseline
0.0,0.0574,active_vs_baseline
0.0,0.0576,active_vs_baseline
0.0,0.0578,active_vs_baseline
0.0,0.058,active_vs_baseline
0.0,0.0582,active_vs_baseline
0.0,0.0584,active_vs_baseline
0.0,0.0586,active_vs_baseline
0.0002,0.0586,active_vs_baseline
0.0002,0.0588,active_vs_baseline
0.0002,0.059,active_vs_baseline
0.0002,0.0592,active_vs_baseline
0.0002,0.0594,active_vs_baseline
0.0002,0.0596,active_vs_baseline
0.0002,0.0598,active_vs_baseline
0.0002,0.06,active_vs_baseline
0.0002,0.0602,active_vs_baseline
0.0002,0.0604,active_vs_baseline
0.0002,0.0606,active_vs_baseline
0.0002,0.0608,active_vs_baseline
0.0002,0.061,active_vs_baseline
0.0002,0.0612,active_vs_baseline
0.0002,0.0614,active_vs_baseline
0.0002,0.0616,active_vs_baseline
0.0002,0.0618,active_vs_baseline
0.0002,0.062,active_vs_baseline
0.0002,0.0622,active_vs_baseline
0.0002,0.0624,active_vs_baseline
0.0002,0.0626,active_vs_baseline
0.0002,0.0628,active_vs_baseline
0.0002,0.063,active_vs_baseline
0.0002,0.0632,active_vs_baseline
0.0002,0.0634,active_vs_baseline
0.0002,0.0636,active_vs_baseline
0.0002,0.0638,active_vs_baseline
0.0002,0.064,active_vs_baseline
0.0002,0.0642,active_vs_baseline
0.0002,0.0644,active_vs_baseline
0.0002,0.0646,active_vs_baseline
0.0002,0.0648,active_vs_baseline
0.0002,0.065,active_vs_baseline
0.0002,0.0652,active_vs_baseline
0.0002,0.0654,active_vs_baseline
0.0002,0.0656,active_vs_baseline
0.0002,0.0658,active_vs_baseline
0.0002,0.066,active_vs_baseline
0.0002,0.0662,active_vs_baseline
0.0002,0.0664,active_vs_baseline
0.0002,0.0668,active_vs_baseline
0.0002,0.067,active_vs_baseline
0.0002,0.0672,active_vs_baseline
0.0002,0.0674,active_vs_baseline
0.0002,0.0676,active_vs_baseline
0.0002,0.0678,active_vs_baseline
0.0002,0.068,active_vs_baseline
0.0002,0.0682,active_vs_baseline
0.0002,0.0684,active_vs_baseline
0.0002,0.0686,active_vs_baseline
0.0002,0.0688,active_vs_baseline
0.0002,0.069,active_vs_baseline
0.0002,0.0692,active_vs_baseline
0.0002,0.0696,active_vs_baseline
0.0002,0.0698,active_vs_baseline
0.0002,0.07,active_vs_baseline
0.0002,0.0702,active_vs_baseline
0.0002,0.0706,active_vs_baseline
0.0002,0.0708,active_vs_baseline
0.0002,0.071,active_vs_baseline
0.0002,0.0712,active_vs_baseline
0.0002,0.0716,active_vs_baseline
0.0002,0.0718,active_vs_baseline
0.0002,0.072,active_vs_baseline
0.0002,0.0722,active_vs_baseline
0.0002,0.0726,active_vs_baseline
0.0002,0.0728,active_vs_baseline
0.0002,0.073,active_vs_baseline
0.0002,0.0732,active_vs_baseline
0.0002,0.0734,active_vs_baseline
0.0002,0.0736,active_vs_baseline
0.0002,0.0738,active_vs_baseline
0.0002,0.074,active_vs_baseline
0.0002,0.0742,active_vs_baseline
0.0002,0.0744,active_vs_baseline
0.0002,0.0746,active_vs_baseline
0.0002,0.0748,active_vs_baseline
0.0002,0.075,active_vs_baseline
0.0002,0.0754,active_vs_baseline
0.0002,0.0756,active_vs_baseline
0.0002,0.0758,active_vs_baseline
0.0002,0.0762,active_vs_baseline
0.0002,0.0764,active_vs_baseline
0.0002,0.0766,active_vs_baseline
0.0002,0.0768,active_vs_baseline
0.0002,0.077,active_vs_baseline
0.0002,0.0772,active_vs_baseline
0.0002,0.0774,active_vs_baseline
0.0002,0.0776,active_vs_baseline
0.0002,0.0778,active_vs_baseline
0.0002,0.078,active_vs_baseline
0.0002,0.0782,active_vs_baseline
0.0002,0.0784,active_vs_baseline
0.0002,0.0786,active_vs_baseline
0.0002,0.0788,active_vs_baseline
0.0002,0.079,active_vs_baseline
0.0002,0.0792,active_vs_baseline
0.0002,0.0794,active_vs_baseline
0.0002,0.0796,active_vs_baseline
0.0002,0.08,active_vs_baseline
0.0002,0.0802,active_vs_baseline
0.0002,0.0804,active_vs_baseline
0.0002,0.0806,active_vs_baseline
0.0002,0.0808,active_vs_baseline
0.0002,0.081,active_vs_baseline
0.0002,0.0812,active_vs_baseline
0.0002,0.0814,active_vs_baseline
0.0002,0.0816,active_vs_baseline
0.0002,0.0818,active_vs_baseline
0.0002,0.082,active_vs_baseline
0.0002,0.0822,active_vs_baseline
0.0002,0.0824,active_vs_baseline
0.0002,0.0826,active_vs_baseline
0.0002,0.0828,active_vs_baseline
0.0002,0.083,active_vs_baseline
0.0002,0.0832,active_vs_baseline
0.0002,0.0834,active_vs_baseline
0.0002,0.0836,active_vs_baseline
0.0002,0.0838,active_vs_baseline
0.0002,0.084,active_vs_baseline
0.0002,0.0842,active_vs_baseline
0.0002,0.0844,active_vs_baseline
0.0002,0.0846,active_vs_baseline
0.0002,0.0848,active_vs_baseline
0.0002,0.085,active_vs_baseline
0.0002,0.0852,active_vs_baseline
0.0002,0.0854,active_vs_baseline
0.0002,0.0856,active_vs_baseline
