false_positive_rate,true_positive_rate,hypothesis_pair
0.002,0.374,active_vs_baseline
0.002,0.376,active_vs_baseline
0.002,0.378,active_vs_baseline
0.002,0.38,active_vs_baseline
0.002,0.382,active_vs_baseline
0.002,0.384,active_vs_baseline
0.002,0.386,active_vs_baseline
0.002,0.388,active_vs_baseline
0.002,0.39,active_vs_baseline
0.002,0.392,active_vs_baseline
0.002,0.394,active_vs_baseline
0.002,0.396,active_vs_baseline
0.002,0.398,active_vs_baseline
0.004,0.398,active_vs_baseline
0.004,0.4,active_vs_baseline
0.004,0.402,active_vs_baseline
0.004,0.404,active_vs_baseline
0.004,0.406,active_vs_baseline
0.004,0.408,active_vs_baseline
0.004,0.41,active_vs_baseline
0.004,0.412,active_vs_baseline
0.004,0.414,active_vs_baseline
0.004,0.416,active_vs_baseline
0.004,0.418,active_vs_baseline
0.004,0.42,active_vs_baseline
0.004,0.422,active_vs_baseline
0.004,0.424,active_vs_baseline
0.004,0.426,active_vs_baseline
0.004,0.428,active_vs_baseline
0.004,0.43,active_vs_baseline
0.004,0.432,active_vs_baseline
0.004,0.434,active_vs_baseline
0.004,0.436,active_vs_baseline
0.004,0.438,active_vs_baseline
0.004,0.44,active_vs_baseline
0.004,0.442,active_vs_baseline
0.004,0.444,active_vs_baseline
0.004,0.446,active_vs_baseline
0.004,0.448,active_vs_baseline
0.004,0.45,active_vs_baseline
0.004,0.452,active_vs_baseline
0.004,0.454,active_vs_baseline
0.004,0.456,active_vs_baseline
0.004,0.458,active_vs_baseline
0.006,0.458,active_vs_baseline
0.006,0.46,active_vs_baseline
0.006,0.462,active_vs_baseline
0.006,0.464,active_vs_baseline
0.006,0.466,active_vs_baseline
0.006,0.468,active_vs_baseline
0.006,0.47,active_vs_baseline
0.006,0.472,active_vs_baseline
0.006,0.474,active_vs_baseline
0.006,0.476,active_vs_baseline
0.006,0.478,active_vs_baseline
0.006,0.48,active_vs_baseline
0.006,0.482,active_vs_baseline
0.006,0.484,active_vs_baseline
0.006,0.486,active_vs_baseline
0.006,0.488,active_vs_baseline
0.006,0.49,active_vs_baseline
0.006,0.492,active_vs_baseline
0.006,0.496,active_vs_baseline
0.006,0.498,active_vs_baseline
0.006,0.5,active_vs_baseline
0.006,0.502,active_vs_baseline
0.006,0.504,active_vs_baseline
0.006,0.506,active_vs_baseline
0.006,0.508,active_vs_baseline
0.006,0.51,active_vs_baseline
0.006,0.512,active_vs_baseline
0.006,0.514,active_vs_baseline
0.006,0.516,active_vs_baseline
0.006,0.518,active_vs_baseline
0.006,0.52,active_vs_baseline
0.006,0.522,active_vs_baseline
0.006,0.524,active_vs_baseline
0.006,0.526,active_vs_baseline
0.006,0.528,active_vs_baseline
0.006,0.53,active_vs_baseline
0.006,0.532,active_vs_baseline
0.006,0.534,active_vs_baseline
0.006,0.536,active_vs_baseline
0.006,0.538,active_vs_baseline
0.006,0.54,active_vs_baseline
0.006,0.542,active_vs_baseline
0.006,0.544,active_vs_baseline
0.006,0.546,active_vs_baseline
0.006,0.548,active_vs_baseline
0.006,0.55,active_vs_baseline
0.008,0.55,active_vs_baseline
0.008,0.552,active_vs_baseline
0.01,0.552,active_vs_baseline
0.01,0.554,active_vs_baseline
0.012,0.554,active_vs_baseline
0.012,0.556,active_vs_baseline
0.012,0.558,active_vs_baseline
0.012,0.56,active_vs_baseline
0.012,0.562,active_vs_baseline
0.012,0.564,active_vs_baseline
0.012,0.566,active_vs_baseline
0.012,0.568,active_vs_baseline
0.012,0.57,active_vs_baseline
0.012,0.572,active_vs_baseline
0.012,0.574,active_vs_baseline
0.012,0.576,active_vs_baseline
0.012,0.578,active_vs_baseline
0.012,0.58,active_vs_baseline
0.012,0.582,active_vs_baseline
0.014,0.582,active_vs_baseline
0.014,0.584,active_vs_baseline
0.014,0.586,active_vs_baseline
0.016,0.586,active_vs_baseline
0.016,0.588,active_vs_baseline
0.016,0.59,active_vs_baseline
0.016,0.592,active_vs_baseline
0.016,0.594,active_vs_baseline
0.016,0.596,active_vs_baseline
0.016,0.598,active_vs_baseline
