experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,quantizer_step,quantizer_phase,jitter_distribution,jitter_scale,alphabet,symbol_index
capacity_curve,capacity_curve,74432f713340,0,,capacity_bits_per_symbol,0.16056053147302046,bits_per_symbol,blahut_arimoto,complete,,,,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,74432f713340,0,,capacity_residual,2.7755575615628914e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,9dadfb89807b,0,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,9dadfb89807b,0,,mutual_information,0.16056053147302046,bits_per_symbol,exact,complete,,,,0.125,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,bd6b3ff04194,0,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,e9bbb13129fb,0,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,1.0
capacity_curve,capacity_curve,6f2bf11a913a,1,,capacity_bits_per_symbol,0.16000298287040332,bits_per_symbol,blahut_arimoto,complete,,,,0.25,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,6f2bf11a913a,1,,capacity_residual,2.7755575615628914e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.25,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,604750cdeda0,1,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.25,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,604750cdeda0,1,,mutual_information,0.16000298287040332,bits_per_symbol,exact,complete,,,,0.25,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,c34299d2a040,1,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,3e3f44a02610,1,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,1.0
capacity_curve,capacity_curve,407a8cc30b83,2,,capacity_bits_per_symbol,0.15780989932970238,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,407a8cc30b83,2,,capacity_residual,5.551115123125783e-17,bits_per_symbol,blahut_arimoto,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,a00cdfa84479,2,,matrix_row_sum_error,0.0,probability,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,a00cdfa84479,2,,mutual_information,0.1578098993297024,bits_per_symbol,exact,complete,,,,0.5,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,baf6ab970c2c,2,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,5a07c94e6b64,2,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,1.0
capacity_curve,capacity_curve,068a6e11808d,3,,capacity_bits_per_symbol,0.14959422631881047,bits_per_symbol,blahut_arimoto,complete,,,,1.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,068a6e11808d,3,,capacity_residual,1.3877787807814457e-16,bits_per_symbol,blahut_arimoto,complete,,,,1.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,6c2af1c907ed,3,,matrix_row_sum_error,0.0,probability,exact,complete,,,,1.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,6c2af1c907ed,3,,mutual_information,0.14959422631881045,bits_per_symbol,exact,complete,,,,1.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,6ce6e0138f03,3,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,932c6bd33c2a,3,,optimal_input_probability,0.5,probability,exact,complete,,,,,,,,,1.0
capacity_curve,capacity_curve,26e1063275ae,4,,capacity_bits_per_symbol,0.12379933051360953,bits_per_symbol,blahut_arimoto,complete,,,,2.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,26e1063275ae,4,,capacity_residual,9.076575602229298e-11,bits_per_symbol,blahut_arimoto,complete,,,,2.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,dc951a69e880,4,,matrix_row_sum_error,0.0,probability,exact,complete,,,,2.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,dc951a69e880,4,,mutual_information,0.12379553312575943,bits_per_symbol,exact,complete,,,,2.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,85e7a7919b9d,4,,optimal_input_probability,0.4971258901072654,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,742667b95e5a,4,,optimal_input_probability,0.5028741098927346,probability,exact,complete,,,,,,,,,1.0
capacity_curve,capacity_curve,cd0d549b8f9e,5,,capacity_bits_per_symbol,0.09928798778035346,bits_per_symbol,blahut_arimoto,complete,,,,4.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,cd0d549b8f9e,5,,capacity_residual,9.353166852132944e-11,bits_per_symbol,blahut_arimoto,complete,,,,4.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,9fb0ae7da983,5,,matrix_row_sum_error,0.0,probability,exact,complete,,,,4.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,9fb0ae7da983,5,,mutual_information,0.09907011938260853,bits_per_symbol,exact,complete,,,,4.0,0.0,gaussian,1.0,"[0.0, 1.0]",
capacity_curve,capacity_curve,3f59cab55fbc,5,,optimal_input_probability,0.47620378009931186,probability,exact,complete,,,,,,,,,0.0
capacity_curve,capacity_curve,0f02c082f3dc,5,,optimal_input_probability,0.5237962199006881,probability,exact,complete,,,,,,,,,1.0
